11/24/2019 10:46:32 AM: @@@@====MAIN====@@@@
11/24/2019 10:46:33 AM: Startup starts...
11/24/2019 10:46:33 AM: ConfigureServices starts...
11/24/2019 10:46:33 AM: Configure starts...
11/24/2019 10:46:33 AM: HomeController starts...
11/24/2019 10:46:34 AM: Home/Index starts...
11/24/2019 10:46:47 AM: api/User/Post starts...
11/24/2019 10:46:51 AM: HomeController starts...
11/24/2019 10:46:52 AM: Home/Init starts...
11/24/2019 11:09:26 AM: @@@@====MAIN====@@@@
11/24/2019 11:09:26 AM: Startup starts...
11/24/2019 11:09:26 AM: ConfigureServices starts...
11/24/2019 11:09:27 AM: Configure starts...
11/24/2019 11:09:27 AM: HomeController starts...
11/24/2019 11:09:27 AM: Home/Index starts...
11/24/2019 11:09:35 AM: api/User/Post starts...
11/24/2019 11:09:39 AM: HomeController starts...
11/24/2019 11:09:40 AM: Home/Init starts...
11/24/2019 11:12:09 AM: @@@@====MAIN====@@@@
11/24/2019 11:12:10 AM: Startup starts...
11/24/2019 11:12:10 AM: ConfigureServices starts...
11/24/2019 11:12:10 AM: Configure starts...
11/24/2019 11:12:11 AM: HomeController starts...
11/24/2019 11:12:11 AM: Home/Index starts...
11/24/2019 11:12:27 AM: api/User/Post starts...
11/24/2019 11:12:32 AM: HomeController starts...
11/24/2019 11:12:32 AM: Home/Init starts...
11/24/2019 11:15:00 AM: @@@@====MAIN====@@@@
11/24/2019 11:15:01 AM: Startup starts...
11/24/2019 11:15:01 AM: ConfigureServices starts...
11/24/2019 11:15:02 AM: Configure starts...
11/24/2019 11:15:02 AM: HomeController starts...
11/24/2019 11:15:02 AM: Home/Index starts...
11/24/2019 11:15:10 AM: api/User/Post starts...
11/24/2019 11:15:14 AM: HomeController starts...
11/24/2019 11:15:15 AM: Home/Init starts...
11/24/2019 11:15:31 AM: HomeController starts...
11/24/2019 11:15:31 AM: Home/Index starts...
11/24/2019 11:15:33 AM: HomeController starts...
11/24/2019 11:20:50 AM: @@@@====MAIN====@@@@
11/24/2019 11:20:50 AM: Startup starts...
11/24/2019 11:20:50 AM: ConfigureServices starts...
